,pred_summary_score,my_pred_summary_score
129,"(0.11764705882352942, 0.0)","[0.11764705882352941, 0.043478260869565216, 0.04975124378109453]"
130,"(0.3135135135135135, 0.04371584699453552)","[0.2, 0.22727272727272727, 0.22123893805309733]"
131,"(0.253968253968254, 0.0)","[0.06521739130434782, 0.05454545454545454, 0.05639097744360901]"
132,"(0.24691358024691357, 0.025316455696202528)","[0.15789473684210525, 0.11538461538461539, 0.12195121951219513]"
133,"(0.21897810218978103, 0.05925925925925926)","[0.03333333333333333, 0.02631578947368421, 0.027472527472527472]"
134,"(0.28169014084507044, 0.07142857142857142)","[0.27586206896551724, 0.1702127659574468, 0.18433179723502305]"
135,"(0.2117647058823529, 0.03571428571428572)","[0.047619047619047616, 0.038461538461538464, 0.04]"
136,"(0.18181818181818185, 0.010204081632653062)","[0.25, 0.17647058823529413, 0.1875]"
137,"(0.22222222222222224, 0.0)","[0.08333333333333333, 0.05714285714285714, 0.06097560975609756]"
138,"(0.21538461538461537, 0.02072538860103627)","[0.14634146341463414, 0.11538461538461539, 0.12048192771084339]"
139,"(0.1871345029239766, 0.011834319526627219)","[0.13333333333333333, 0.07142857142857142, 0.07874015748031496]"
140,"(0.28, 0.06756756756756757)","[0.20588235294117646, 0.21212121212121213, 0.2108433734939759]"
141,"(0.22619047619047622, 0.07228915662650602)","[0.13636363636363635, 0.05357142857142857, 0.06097560975609756]"
142,"(0.33532934131736525, 0.14545454545454545)","[0.19148936170212766, 0.23076923076923078, 0.22167487684729065]"
143,"(0.1081081081081081, 0.0)","[0.04, 0.02564102564102564, 0.027624309392265196]"
144,"(0.0, 0.0)","[0.0, 0.0, 0]"
145,"(0.22972972972972971, 0.013698630136986302)","[0.030303030303030304, 0.027777777777777776, 0.028248587570621465]"
146,"(0.23938223938223938, 0.015564202334630349)","[0.08196721311475409, 0.07462686567164178, 0.07598784194528875]"
147,"(0.21359223300970875, 0.0)","[0.25, 0.0975609756097561, 0.1111111111111111]"
148,"(0.2575107296137339, 0.04329004329004329)","[0.20754716981132076, 0.1375, 0.14745308310991959]"
149,"(0.2413793103448276, 0.03488372093023255)","[0.058823529411764705, 0.09090909090909091, 0.08196721311475412]"
150,"(0.21714285714285714, 0.023121387283236993)","[0.14285714285714285, 0.07246376811594203, 0.08038585209003216]"
151,"(0.23589743589743595, 0.05181347150259068)","[0.12307692307692308, 0.20512820512820512, 0.1809954751131222]"
152,"(0.2288557213930348, 0.030150753768844216)","[0.06976744186046512, 0.05357142857142857, 0.05617977528089888]"
153,"(0.23826714801444046, 0.05090909090909092)","[0.14634146341463414, 0.07317073170731707, 0.08130081300813008]"
154,"(0.3112582781456954, 0.04666666666666667)","[0.11290322580645161, 0.07777777777777778, 0.08293838862559241]"
155,"(0.291970802919708, 0.07407407407407407)","[0.4166666666666667, 0.2127659574468085, 0.2358490566037736]"
