,pred_summary_score,my_pred_summary_score
130,"(0.2645161290322581, 0.03896103896103896)","[0.13761467889908258, 0.3409090909090909, 0.26315789473684215]"
131,"(0.20888888888888887, 0.03125)","[0.10135135135135136, 0.2727272727272727, 0.20380434782608692]"
132,"(0.1658986175115207, 0.037209302325581395)","[0.0125, 0.038461538461538464, 0.02717391304347826]"
133,"(0.29383886255924174, 0.06698564593301434)","[0.18518518518518517, 0.2631578947368421, 0.24271844660194172]"
134,"(0.35877862595419846, 0.1692307692307692)","[0.31343283582089554, 0.4666666666666667, 0.42510121457489874]"
135,"(0.3045977011494253, 0.10982658959537574)","[0.2682926829268293, 0.4230769230769231, 0.3793103448275862]"
136,"(0.2675585284280937, 0.0808080808080808)","[0.2236842105263158, 0.25, 0.24425287356321837]"
137,"(0.2962962962962963, 0.11180124223602483)","[0.17567567567567569, 0.40625, 0.3217821782178218]"
138,"(0.2492581602373887, 0.035820895522388055)","[0.18518518518518517, 0.3, 0.2669039145907473]"
139,"(0.3986254295532646, 0.20069204152249134)","[0.25333333333333335, 0.3392857142857143, 0.31772575250836127]"
140,"(0.23580786026200873, 0.017621145374449337)","[0.10204081632653061, 0.15151515151515152, 0.13812154696132597]"
141,"(0.3163265306122449, 0.041025641025641026)","[0.1320754716981132, 0.25, 0.2121212121212121]"
142,"(0.31683168316831684, 0.13999999999999999)","[0.17543859649122806, 0.2564102564102564, 0.23474178403755866]"
143,"(0.13043478260869565, 0.0)","[0.1125, 0.23076923076923078, 0.19067796610169493]"
144,"(0.15950920245398773, 0.024844720496894408)","[0.04411764705882353, 0.11538461538461539, 0.0872093023255814]"
145,"(0.28767123287671226, 0.055172413793103454)","[0.21621621621621623, 0.4444444444444444, 0.36697247706422015]"
146,"(0.2727272727272727, 0.04564315352697095)","[0.07913669064748201, 0.16417910447761194, 0.13513513513513514]"
147,"(0.33879781420765026, 0.143646408839779)","[0.3170731707317073, 0.3170731707317073, 0.3170731707317073]"
