,pred_summary_score,my_pred_summary_score
2958,"(0.20253164556962028, 0.10178117048346057)","[0.65625, 0.16666666666666666, 0.1958955223880597]"
1919,"(0.21800947867298576, 0.16666666666666666)","[0.8620689655172413, 0.16666666666666666, 0.19872813990461047]"
696,"(0.4260869565217391, 0.30701754385964913)","[0.9310344827586207, 0.35064935064935066, 0.400593471810089]"
496,"(0.17271157167530224, 0.12824956672443674)","[0.8214285714285714, 0.12299465240641712, 0.14819587628865977]"
1780,"(0.47619047619047616, 0.3902439024390244)","[0.6666666666666666, 0.42857142857142855, 0.4615384615384615]"
1400,"(0.0729483282674772, 0.0365482233502538)","[0.59375, 0.05093833780160858, 0.062335958005249346]"
1894,"(0.24181360201511334, 0.11139240506329114)","[0.8620689655172413, 0.176056338028169, 0.2093802345058626]"
3736,"(0.233983286908078, 0.1400560224089636)","[0.7222222222222222, 0.19548872180451127, 0.22887323943661972]"
2556,"(0.1758241758241758, 0.06181015452538632)","[0.6896551724137931, 0.12578616352201258, 0.15037593984962405]"
690,"(0.20689655172413793, 0.14851485148514854)","[0.6666666666666666, 0.11851851851851852, 0.14184397163120566]"
2761,"(0.24427480916030533, 0.08461538461538462)","[0.5675675675675675, 0.1926605504587156, 0.22198731501057084]"
55,"(0.2621082621082621, 0.1489971346704871)","[0.75, 0.16666666666666666, 0.19736842105263158]"
377,"(0.28767123287671237, 0.2)","[0.7894736842105263, 0.2803738317757009, 0.3218884120171674]"
1197,"(0.4878048780487806, 0.345679012345679)","[0.782608695652174, 0.4, 0.4433497536945813]"
3686,"(0.2613981762917933, 0.15902140672782877)","[0.8125, 0.2184873949579832, 0.2559055118110236]"
919,"(0.2875, 0.1446540880503145)","[0.8, 0.25225225225225223, 0.2922755741127348]"
753,"(0.1494057724957555, 0.057921635434412255)","[0.8571428571428571, 0.10843373493975904, 0.13138686131386862]"
880,"(0.22075055187637968, 0.1507760532150776)","[0.8787878787878788, 0.16022099447513813, 0.19154557463672392]"
2863,"(0.1758793969849246, 0.05555555555555555)","[0.5454545454545454, 0.15, 0.1754385964912281]"
240,"(0.12191582002902757, 0.049490538573508006)","[0.8125, 0.10276679841897234, 0.12452107279693488]"
1160,"(0.32195121951219513, 0.2167487684729064)","[0.6774193548387096, 0.2916666666666667, 0.32915360501567403]"
1139,"(0.37354085603112847, 0.2196078431372549)","[0.9411764705882353, 0.3595505617977528, 0.4102564102564103]"
1914,"(0.3016393442622951, 0.132013201320132)","[0.6666666666666666, 0.18333333333333332, 0.21442495126705655]"
3890,"(0.30952380952380953, 0.22754491017964076)","[0.9, 0.23076923076923078, 0.2710843373493976]"
3267,"(0.24657534246575347, 0.1103448275862069)","[0.6923076923076923, 0.16981132075471697, 0.2]"
2412,"(0.1801470588235294, 0.10701107011070111)","[0.9393939393939394, 0.15270935960591134, 0.1834319526627219]"
68,"(0.18396226415094338, 0.09478672985781991)","[0.9285714285714286, 0.16049382716049382, 0.19230769230769232]"
3688,"(0.27405247813411077, 0.16422287390029328)","[0.8780487804878049, 0.2706766917293233, 0.31413612565445026]"
617,"(0.04855842185128983, 0.010638297872340427)","[0.43902439024390244, 0.036072144288577156, 0.04418262150220914]"
3389,"(0.29538461538461536, 0.14860681114551083)","[0.8181818181818182, 0.21951219512195122, 0.2571428571428571]"
2128,"(0.28804347826086957, 0.24043715846994534)","[0.9375, 0.23255813953488372, 0.2737226277372263]"
3252,"(0.0800711743772242, 0.0285204991087344)","[0.6774193548387096, 0.05526315789473684, 0.06769825918762087]"
2742,"(0.34265734265734266, 0.22535211267605632)","[0.8666666666666667, 0.2708333333333333, 0.3140096618357488]"
1429,"(0.35714285714285715, 0.20800000000000002)","[0.7241379310344828, 0.22105263157894736, 0.2567237163814181]"
575,"(0.3025830258302583, 0.14126394052044608)","[0.6571428571428571, 0.23, 0.26436781609195403]"
1641,"(0.6341463414634146, 0.4197530864197531)","[1.0, 0.46296296296296297, 0.5186721991701245]"
2385,"(0.133587786259542, 0.0421455938697318)","[0.45161290322580644, 0.07329842931937172, 0.08805031446540879]"
1326,"(0.4423963133640553, 0.34418604651162793)","[0.8571428571428571, 0.27692307692307694, 0.3202846975088968]"
993,"(0.1606217616580311, 0.078125)","[0.8787878787878788, 0.17058823529411765, 0.20336605890603085]"
