,pred_summary_score,my_pred_summary_score
2304,"(0.4114285714285714, 0.15028901734104047)","[0.6923076923076923, 0.391304347826087, 0.42857142857142866]"
464,"(0.20560747663551404, 0.11737089201877933)","[0.7666666666666667, 0.184, 0.21698113207547168]"
483,"(0.24089635854341737, 0.15774647887323945)","[0.75, 0.22131147540983606, 0.25763358778625955]"
530,"(0.20140515222482433, 0.09411764705882351)","[0.6666666666666666, 0.1527777777777778, 0.18062397372742203]"
2945,"(0.2066115702479339, 0.041666666666666664)","[0.4117647058823529, 0.16279069767441862, 0.18518518518518517]"
4311,"(0.24800000000000003, 0.03225806451612903)","[0.5, 0.14942528735632185, 0.1737967914438503]"
1045,"(0.21145374449339205, 0.07111111111111111)","[0.5384615384615384, 0.19718309859154928, 0.2258064516129032]"
3360,"(0.26573426573426573, 0.06338028169014086)","[0.5, 0.13131313131313133, 0.15402843601895733]"
101,"(0.2158590308370044, 0.15486725663716813)","[0.8333333333333334, 0.17006802721088435, 0.20226537216828477]"
3804,"(0.4299065420560748, 0.27358490566037735)","[0.7352941176470589, 0.423728813559322, 0.462962962962963]"
461,"(0.11061946902654866, 0.08869179600886917)","[0.9210526315789473, 0.109717868338558, 0.13318112633181126]"
1818,"(0.2962962962962963, 0.15671641791044777)","[0.7272727272727273, 0.2608695652173913, 0.29925187032418954]"
1356,"(0.35114503816793896, 0.2461538461538461)","[0.8333333333333334, 0.30864197530864196, 0.3531073446327684]"
2102,"(0.20123203285420943, 0.1443298969072165)","[0.8333333333333334, 0.1910828025477707, 0.22590361445783136]"
2487,"(0.17761989342806392, 0.11051693404634583)","[0.925, 0.1761904761904762, 0.21022727272727276]"
4056,"(0.38095238095238093, 0.19213973799126638)","[0.92, 0.3026315789473684, 0.3495440729483283]"
2025,"(0.23661971830985912, 0.1246458923512748)","[0.75, 0.1826086956521739, 0.21516393442622953]"
840,"(0.19375, 0.08176100628930819)","[0.6, 0.14285714285714285, 0.16853932584269662]"
326,"(0.05599425699928212, 0.023005032350826744)","[0.8571428571428571, 0.06493506493506493, 0.07966011683483802]"
1350,"(0.134185303514377, 0.05769230769230768)","[0.8888888888888888, 0.13168724279835392, 0.15873015873015875]"
1354,"(0.32460732984293195, 0.10582010582010581)","[0.5454545454545454, 0.27692307692307694, 0.30716723549488056]"
1786,"(0.2, 0.07547169811320754)","[0.47058823529411764, 0.15384615384615385, 0.1777777777777778]"
1402,"(0.21765913757700206, 0.1731958762886598)","[0.9393939393939394, 0.19745222929936307, 0.2344931921331316]"
1106,"(0.16638370118845502, 0.10562180579216356)","[0.8918918918918919, 0.1813186813186813, 0.21568627450980393]"
1674,"(0.43564356435643564, 0.303030303030303)","[0.5, 0.6, 0.5769230769230769]"
2171,"(0.19083969465648853, 0.11494252873563218)","[0.8918918918918919, 0.1783783783783784, 0.21235521235521237]"
3479,"(0.22689075630252103, 0.09322033898305085)","[0.4838709677419355, 0.21428571428571427, 0.24115755627009647]"
4011,"(0.34444444444444444, 0.12359550561797754)","[0.53125, 0.3148148148148148, 0.34274193548387094]"
4095,"(0.35877862595419846, 0.2538461538461539)","[0.8787878787878788, 0.3258426966292135, 0.3727506426735218]"
513,"(0.33513513513513515, 0.16393442622950818)","[0.6, 0.2465753424657534, 0.2795031055900621]"
310,"(0.12454212454212454, 0.06609547123623011)","[0.967741935483871, 0.10067114093959731, 0.12264922322158625]"
1083,"(0.3512544802867384, 0.24548736462093865)","[0.7575757575757576, 0.27472527472527475, 0.31486146095717893]"
3975,"(0.24864864864864866, 0.1576086956521739)","[0.8064516129032258, 0.18248175182481752, 0.2158894645941278]"
3692,"(0.23170731707317072, 0.1533742331288344)","[0.7142857142857143, 0.21739130434782608, 0.25252525252525254]"
1378,"(0.2727272727272727, 0.14379084967320258)","[0.7058823529411765, 0.24489795918367346, 0.28169014084507044]"
669,"(0.1706349206349206, 0.06772908366533864)","[0.8620689655172413, 0.16778523489932887, 0.2]"
2131,"(0.13333333333333333, 0.04056795131845842)","[0.5555555555555556, 0.0872093023255814, 0.10489510489510488]"
1432,"(0.6455696202531647, 0.4871794871794871)","[0.875, 0.5384615384615384, 0.5833333333333334]"
4265,"(0.15241057542768274, 0.10920436817472698)","[0.8, 0.13270142180094788, 0.15927189988623436]"
2053,"(0.4021164021164021, 0.23529411764705882)","[0.7419354838709677, 0.3709677419354839, 0.4121863799283154]"
4235,"(0.1872146118721461, 0.06880733944954127)","[0.6, 0.1232876712328767, 0.14657980456026057]"
3335,"(0.11258955987717502, 0.06153846153846154)","[0.9393939393939394, 0.096875, 0.11805026656511806]"
2299,"(0.1805225653206651, 0.057279236276849645)","[0.6774193548387096, 0.15, 0.17766497461928932]"
754,"(0.23744292237442924, 0.1559633027522936)","[0.8333333333333334, 0.2066115702479339, 0.24319066147859925]"
1500,"(0.19123505976095617, 0.11599999999999999)","[0.95, 0.10795454545454546, 0.1312154696132597]"
462,"(0.2011605415860735, 0.11650485436893203)","[0.9090909090909091, 0.15384615384615385, 0.18450184501845018]"
2989,"(0.1329479768786127, 0.06666666666666667)","[0.92, 0.1013215859030837, 0.1232583065380493]"
2582,"(0.1763440860215054, 0.0734341252699784)","[0.7692307692307693, 0.14084507042253522, 0.16835016835016836]"
1814,"(0.12993039443155452, 0.013986013986013988)","[0.6875, 0.1437908496732026, 0.17080745341614906]"
748,"(0.1672727272727273, 0.08759124087591241)","[0.8181818181818182, 0.14754098360655737, 0.1764705882352941]"
2521,"(0.1266427718040621, 0.05748502994011976)","[0.7857142857142857, 0.10526315789473684, 0.12731481481481483]"
1889,"(0.21479713603818615, 0.11031175059952038)","[0.7419354838709677, 0.19008264462809918, 0.22330097087378642]"
3138,"(0.375886524822695, 0.3142857142857143)","[0.8787878787878788, 0.2871287128712871, 0.3318077803203661]"
2899,"(0.23076923076923078, 0.07758620689655173)","[0.37142857142857144, 0.18840579710144928, 0.20900321543408362]"
3677,"(0.2147117296222664, 0.17564870259481036)","[0.9354838709677419, 0.1858974358974359, 0.22137404580152673]"
3364,"(0.26373626373626374, 0.03333333333333334)","[0.36666666666666664, 0.2037037037037037, 0.2235772357723577]"
4093,"(0.29906542056074764, 0.15673981191222572)","[0.8461538461538461, 0.18803418803418803, 0.22267206477732795]"
4038,"(0.3296703296703297, 0.19188191881918817)","[0.8636363636363636, 0.2111111111111111, 0.2486910994764398]"
457,"(0.24299065420560745, 0.1643192488262911)","[0.9444444444444444, 0.2361111111111111, 0.2777777777777778]"
